# ,Vehicle Description, Device-ID ,Date ,Time ,OdometerKm,Lat/Lon ,Address ,Latest Batt %,Since Last Check-In
231,SE3_KA04AB5801_JETTING,se3_ka04ab5801_jetting,26/6/2022,23:58:59,13551,12.9279/77.6215,De-Oriell Hotel,,0d 00h 00m
232,N3_KA04C5142_JETTING,n3_ka04c5142_jetting,26/6/2022,23:58:59,48766,13.0591/77.5872,Chairman's Club & Resort,,0d 00h 00m
233,NW3_KA04AC5936_TANKER,nw3_ka04ac5936_tanker,26/6/2022,23:59:00,22505,13.0329/77.5184,Choksandra,,34d 13h 19m
234,W2_KA04D4864_JETTING,w2_ka04d4864_jetting,26/6/2022,23:59:00,38717,12.9770/77.5108,Nagarbhavi,,0d 00h 02m
235,NW3_KA04C5135_JETTING,nw3_ka04c5135_jetting,26/6/2022,23:59:00,16218,12.9939/77.5157,KamalaNagar,,66d 00h 51m
236,C1_KA02AC5939_JETTING,c1_ka02ac5939_jetting,26/6/2022,23:59:01,12683,12.9717/77.5829,Mysore Bank,,0d 00h 00m
237,E1_KA04AA9026_DESILTING,e1_ka04aa9026_desilting,26/6/2022,23:59:01,13454,13.0207/77.6497,Babushibpalya,,0d 00h 00m
1,NE1_KA04N1245_JEEP,ne1_ka04n1245_jeep,1/1/2014,6:13:00,25,,,,14d 18h 47m
2,NE1_KA04D5158_JETTING,ne1_ka04d5158_jetting,1/1/2014,13:30:01,,,,,0d 00h 00m
3,SE1_CAW210_TANKER,SE1_CAW210_Tanker,17/11/2016,15:51:15,58,12.9817/77.6284,Halsur,,2276d 22h 59m
4,SE1_CAW313_TANKER,SE1_CAW313_Tanker,23/11/2016,12:43:25,772,12.9817/77.6284,Halsur,,2255d 19h 02m
5,NE3_KA04AA1789_DESILTING,ne3_ka04aa1789_desilting,30/10/2018,14:37:57,,13.0247/77.5948,RT Nagar,,1513d 19h 55m
6,SW2_CAW311_TANKER,SW2_CAW311_Tanker,31/10/2018,11:21:59,326,12.9267/77.5598,Banagiri Nagar,,2007d 18h 33m
10,C3_KA04AA9028_DESILTING,c3_ka04aa9028_desilting,18/11/2019,16:58:37,28,13.0016/77.6279,Seva Nagar,,1128d 11h 31m
11,C1_KA04850_TANKER,c1_ka04850_tanker,20/11/2019,16:14:40,3576,12.9830/77.5851,Kanija Bhavan,,1127d 18h 17m
12,C3_KA03B965_JETTING,c3_ka03b965_jetting,30/12/2019,14:29:16,11427,12.9953/77.6152,FrazerTown,,1087d 20h 03m
13,SW2_CAW236_JETTING,sw2_caw236_jetting,2/1/2020,12:58:16,1736,12.8814/77.5453,Vasantpura,,1084d 19h 09m
14,NE2_KA04A3048_JETTING,ne2_ka04a3048_jetting,8/1/2020,10:22:15,15629,13.0186/77.6128,Keval Bhairsandra,,1079d 00h 05m
15,SW4_KA05D8079_TANKER,sw4_ka05d8079_tanker,9/1/2020,14:10:39,16856,12.9707/77.5910,Iris Hotel,,1077d 20h 16m
16,N2_KA04C2201_JETTING,n2_ka04c2201_jetting,14/1/2020,17:02:09,21679,13.1016/77.5862,Puttanahalli,,0d 19h 22m
17,SE1_KA03B964_JETTING,se1_ka03b964_jetting,14/1/2020,18:12:54,769415,12.8804/77.5464,Vasantpura,,1072d 16h 13m
18,NE3_KA04A6215_JETTING,ne3_ka04a6215_jetting,16/1/2020,12:16:15,17587,13.0199/77.6093,Keval Bhairsandra,,366d 20h 54m
19,NE3_KA04AA1783_DESILTING,ne3_ka04aa1783_desilting,16/1/2020,13:32:30,23445,13.0298/77.5887,CBI,,424d 23h 38m
20,SE1_KA04A3046_JETTING,se1_ka04a3046_jetting,16/1/2020,13:32:37,18216,12.9581/77.6124,Hotel Royal Heritage,,1070d 20h 53m
21,W4_KA04B6770_JETTING,w4_ka04b6770_jetting,16/1/2020,13:32:37,16480,12.9675/77.5331,Maruthi Mandir,,417d 22h 30m
22,S4_KA04C5152_JETTING,s4_ka04c5152_jetting,16/6/2020,13:04:34,18568,12.9771/77.4381,Bayandhalli,,918d 21h 28m
24,WWM_KC1_KA04AA5948_DESILTING,wwm_kc1_ka04aa5948_desilting,23/7/2020,13:20:39,48091,12.9006/77.5857,Hotel Nandhini J.P.Nagar,,881d 21h 12m
25,SW2_KA04D4605_JETTING,sw2_ka04d4605_jetting,29/7/2020,10:25:19,17890,12.9296/77.5350,Hosakerahalli,,876d 00h 07m
26,NE1_CAA3313_TANKER,ne1_caa3313_tanker,29/7/2020,10:29:11,13729,13.0111/77.5672,Malleshwaram,,876d 00h 03m
27,NE1_KA04A9515_JETTING,ne1_ka04a9515_jetting,7/10/2020,11:34:01,4283,13.0119/77.5677,Malleshwaram,,47d 17h 10m
28,C3_KA04C5156_JETTING,c3_ka04c5156_jetting,30/11/2020,15:44:16,8278,12.9934/77.5212,KamalaNagar,,751d 18h 47m
29,NE2_KA05AD2943_DESILTING,ne2_ka05ad2943_desilting,7/12/2020,12:34:06,281,12.9897/77.5787,Seshadripuram,,744d 21h 57m
30,SW1_KA04A9520_JETTING,sw1_ka04a9520_jetting,12/1/2021,12:17:59,9897,12.9777/77.4387,Bayandhalli,,708d 22h 13m
31,S2_KA04C5149_JETTING,s2_ka04c5149_jetting,26/1/2021,16:15:26,19876,12.8735/77.5845,Quality Inn Shravanthi,,694d 18h 15m
32,S2_KA04D5299_TANKER,s2_ka04d5299_tanker,19/6/2021,15:31:04,60465,12.8739/77.5842,Quality Inn Shravanthi,,550d 18h 59m
33,SE1_KA04C5154_JETTING,se1_ka04c5154_jetting,1/7/2021,13:35:59,15913,12.9741/77.6297,Jogupalya,,0d 18h 19m
34,W1_KA05AD2945_DESILTING,w1_ka05ad2945_desilting,17/9/2021,11:15:20,7200,13.0099/77.5679,Malleshwaram,,460d 23h 17m
35,E2_KA04D5291_TANKER,e2_ka04d5291_tanker,26/9/2021,10:51:46,3048,12.9771/77.7115,Radha Hometel,,47d 19h 57m
36,C3_KA05D8078_TANKER,c3_ka05d8078_tanker,2/10/2021,13:10:13,9619,13.0090/77.6163,Doddajivanhalli,,445d 21h 23m
37,W2_KA04C5134_JETTING,w2_ka04c5134_jetting,27/11/2021,9:11:53,15431,12.9780/77.5109,Nagarbhavi,,0d 00h 00m
38,WWM_VV2_KA53B3462_JETTING,wwm_vv2_ka53b3462_jetting,9/12/2021,13:16:01,12263,12.9366/77.5211,Nayandanahalli,,377d 21h 17m
39,S2_KA04D4104_JETTING,s2_ka04d4104_jetting,31/12/2021,17:35:16,21600,12.8735/77.5846,Quality Inn Shravanthi,,0d 00h 00m
40,E4_KA04D6648_JETTING,e4_ka04d6648_jetting,25/1/2022,11:55:50,13752,12.9925/77.6787,Mahadevapura,,0d 18h 11m
41,WWM_KC1_KA53B3464_JETTING,wwm_kc1_ka53b3464_jetting,10/2/2022,7:12:13,13623,12.9561/77.6436,Hare Krishna Residency,,2d 17h 52m
42,C3_KA02AC5950_JETTING,c3_ka02ac5950_jetting,13/2/2022,21:43:27,17166,13.0013/77.6279,Seva Nagar,,0d 00h 00m
44,SE2_KA03C5068_TANKER,se2_ka03c5068_tanker,3/3/2022,17:51:57,1056415,12.9705/77.5914,Iris Hotel,,293d 16h 41m
45,NW1_KA04A9519_JETTING,nw1_ka04a9519_jetting,22/4/2022,10:49:08,24278,13.0089/77.5490,NarayanaNethralaya,,243d 23h 43m
46,C2_KA04C5127_JETTING,c2_ka04c5127_jetting,23/4/2022,15:27:03,18011,12.9872/77.5899,Hotel Chalukya,,0d 22h 57m
47,N2_KA04D5125_TANKER,n2_ka04d5125_tanker,7/5/2022,15:38:49,13275,13.0591/77.5871,Chairman's Club & Resort,,0d 00h 00m
48,E3_KA02AC5938_JETTING,e3_ka02ac5938_jetting,14/5/2022,17:49:02,27675,13.0080/77.6900,Krishnarpur,,0d 00h 00m
49,WWM_KA53B3470_SUCTION,wwm_ka53b3470_suction,19/5/2022,16:49:09,18577,13.0441/77.6430,Geddalhalli,,0d 17h 25m
50,WWM_KC2_KA53B3473_DUMPTANKER,wwm_kc2_ka53b3473_dumptanker,20/5/2022,14:45:58,3327,12.9561/77.6434,Hare Krishna Residency,,215d 19h 46m
52,WWM_KA53B3474_DUMPING,wwm_ka53b3474_dumping,28/5/2022,11:39:11,11109,13.0419/77.5971,Gudahalli,,27d 23h 56m
53,S1_KA04C5144_JETTING,s1_ka04c5144_jetting,1/6/2022,17:00:07,40268,12.9083/77.5346,Kodipur,,0d 00h 03m
54,C3_KA02AC5935_JETTING,c3_ka02ac5935_jetting,3/6/2022,8:00:53,19217,13.0014/77.6274,Seva Nagar,,0d 00h 00m
55,SE1_KA04C5150_JETTING,se1_ka04c5150_jetting,4/6/2022,6:51:38,18871,13.0103/77.5665,Malleshwaram,,0d 00h 00m
56,WWM_KA53B3477_DUMPING,wwm_ka53b3477_dumping,4/6/2022,9:52:18,5802,13.0427/77.5872,Hebbal Kere,,201d 00h 40m
58,SW4_KA04C2203_JETTING,sw4_ka04c2203_jetting,7/6/2022,15:01:55,30920,12.9126/77.5989,Mico Layout (Near Shilpa Kala Mantapa),,0d 00h 00m
59,WWM_KA53B3475_DUMPING,wwm_ka53b3475_dumping,10/6/2022,11:56:34,12299,13.0413/77.5969,Gudahalli,,34d 00h 27m
60,NW2_KA04D4113_JETTING,nw2_ka04d4113_jetting,10/6/2022,16:56:00,13492,12.9842/77.5371,BasaveshNagar,,17d 00h 26m
61,SW1_KA04A9522_JETTING,sw1_ka04a9522_jetting,14/6/2022,14:17:17,740150,12.9623/77.5785,Hotel Sapphire,,190d 20h 15m
62,E1_KA02AC4521_JETTING,e1_ka02ac4521_jetting,14/6/2022,18:30:13,32738,13.0209/77.6496,Babushibpalya,,0d 00h 00m
63,W4_KA04C5129_JETTING,w4_ka04c5129_jetting,15/6/2022,18:20:01,26916,12.8743/77.5182,Poornapragana Layout,,147d 21h 48m
64,NW3_KA04C2197_JETTING,nw3_ka04c2197_jetting,18/6/2022,22:57:34,19062,13.0329/77.5185,Choksandra,,9d 19h 52m
65,E1_KA04C5153_JETTING,e1_ka04c5153_jetting,20/6/2022,8:45:18,45409,13.0121/77.6558,Chansandra,,0d 00h 00m
66,N1_KA04C5141_JETTING,n1_ka04c5141_jetting,21/6/2022,9:15:28,30765,13.0602/77.5061,Bagulkuntte,,0d 00h 00m
67,SE2_KA04D4611_JETTING,se2_ka04d4611_jetting,21/6/2022,13:18:37,30797,12.9012/77.6621,Kassavanahalli,,0d 00h 00m
68,NE3_KA04A3042_JETTING,ne3_ka04a3042_jetting,24/6/2022,7:16:19,1594036,13.0300/77.5701,Gedalhalli,,0d 23h 47m
69,SE3_KA04D5311_TANKER,se3_ka04d5311_tanker,24/6/2022,9:49:24,17406,12.9280/77.6216,De-Oriell Hotel,,138d 21h 15m
70,SE3_KA04A3044_JETTING,se3_ka04a3044_jetting,25/6/2022,2:22:49,18300,12.9281/77.6216,De-Oriell Hotel,,0d 00h 01m
71,NE3_KA02AC5944_JETTING,ne3_ka02ac5944_jetting,25/6/2022,9:37:22,76333,13.0244/77.5828,Kaisar-i Hind Mills,,0d 00h 01m
72,SE1_KA049409_JETTING,se1_ka049409_jetting,26/6/2022,10:02:17,12089,12.9613/77.6381,Domlur Bus Stop,,0d 00h 55m
73,C1_KA04D5123_TANKER,c1_ka04d5123_tanker,27/6/2022,14:21:16,9752,12.9828/77.5852,Kanija Bhavan,,0d 00h 00m
75,SW4_KA04C2198_JETTING,sw4_ka04c2198_jetting,29/6/2022,9:03:04,25519,12.9235/77.5916,Jayanagar 9th Block,,0d 00h 00m
76,NW2_KA04C5133_JETTING,nw2_ka04c5133_jetting,30/6/2022,13:41:13,14422,12.9950/77.5265,KamalaNagar,,0d 01h 29m
77,WWM_KC2_KA53B3469_JETTING,wwm_kc2_ka53b3469_jetting,1/7/2022,9:43:17,85351,12.9560/77.6432,Hare Krishna Residency,,0d 00h 00m
78,E3_KA04SD4157_JETTING,e3_ka04sd4157_jetting,2/7/2022,10:27:36,40848,13.0179/77.6717,Ramada Encore Bangalore Domlur,,0d 00h 00m
79,E4_KA04D5309_TANKER,e4_ka04d5309_tanker,5/7/2022,17:20:14,34093,12.9963/77.6772,K R Puram,,25d 15h 27m
80,W1_KA02B6769_JETTING,w1_ka02b6769_jetting,6/7/2022,11:37:48,24323,12.9714/77.5514,Magadi Road Tolgate,,0d 00h 00m
81,C3_KA03C5048_TANKER,c3_ka03c5048_tanker,7/7/2022,3:33:57,10625,13.0014/77.6276,Seva Nagar,,104d 22h 37m
82,WWM_KC1_KA53B3463_DUMPTANKER,wwm_kc1_ka53b3463_dumptanker,7/7/2022,6:52:53,14402,12.9563/77.6433,Hare Krishna Residency,,168d 03h 40m
83,SW3_KA04C5147_JETTING,sw3_ka04c5147_jetting,7/7/2022,10:59:26,22566,12.9482/77.5769,Vanivilas,,0d 00h 00m
84,E2_KA04AB6020_JETTING,e2_ka04ab6020_jetting,8/7/2022,23:01:28,25186,,,,0d 00h 00m
85,W1_KA02D3148_TANKER,w1_ka02d3148_tanker,9/7/2022,1:34:27,16119,12.9568/77.5481,Timer yard Layout,,0d 00h 00m
86,N3_KA04AA7682_DESILTING,n3_ka04aa7682_desilting,9/7/2022,15:46:20,47239,13.0271/77.5180,Peenya,,0d 00h 00m
87,SW1_KA04A3045_JETTING,sw1_ka04a3045_jetting,11/7/2022,15:34:33,19430,12.9500/77.5717,ShankaraPuram,,11d 20h 01m
88,E4_KA04AA7684_DESILTING,e4_ka04aa7684_desilting,11/7/2022,16:57:20,17495,12.9965/77.6768,K R Puram,,0d 00h 00m
90,NE2_KA04A9517_JETTING,ne2_ka04a9517_jetting,12/7/2022,14:28:53,10833,12.9910/77.5732,Golden Residency,,15d 01h 20m
91,WWM_VV1_KA53B3459_DUMPING,wwm_vv1_ka53b3459_dumping,12/7/2022,15:43:21,4098,12.9715/77.5608,Binnypete,,0d 00h 00m
92,W3_KA04D5156_JETTING,w3_ka04d5156_jetting,12/7/2022,15:57:35,1609344,12.9188/77.5202,Rajarajeshwari Nagar,,0d 00h 00m
93,SW4_KA04D5298_TANKER,sw4_ka04d5298_tanker,13/7/2022,13:42:05,32327,12.9356/77.5888,Jayanagar Swimming Pool,,0d 00h 00m
94,NW1_KA04C5131_JETTING,nw1_ka04c5131_jetting,13/7/2022,15:46:31,14528,13.0100/77.5664,Malleshwaram,,0d 00h 00m
95,NW3_KA04AC5936_TANKER,nw3_ka04ac5936_tanker,13/7/2022,17:08:44,22689,13.0346/77.5191,Chokkasandra,,34d 13h 19m
96,NE1_KA04A9516_JETTING,ne1_ka04a9516_jetting,14/7/2022,14:50:49,264832,12.9310/77.5398,Hosakerahalli,,0d 00h 00m
97,NE3_KA04AA1782_DESILTING,ne3_ka04aa1782_desilting,14/7/2022,15:32:47,18197,13.0284/77.5719,Gedalhalli,,0d 07h 59m
98,NE3_KA04AA1780_DESILTING,ne3_ka04aa1780_desilting,15/7/2022,13:18:33,14763,13.1572/77.6855,Huvinaikanhalli,,0d 01h 12m
100,SW4_KA04C5151_JETTING,sw4_ka04c5151_jetting,16/7/2022,15:30:34,19999,12.9485/77.5960,Wilson Garden,,18d 20h 06m
101,E3_KA04D5127_TANKER,e3_ka04d5127_tanker,16/7/2022,16:46:20,23565,13.0080/77.6896,Krishnarpur,,1d 01h 15m
102,C2_KA04D4107_JETTING,c2_ka04d4107_jetting,17/7/2022,16:31:43,17036,12.9872/77.5901,Hotel Chalukya,,0d 00h 00m
103,E3_KA04AB6023_JETTING,e3_ka04ab6023_jetting,18/7/2022,9:23:06,30051,13.0081/77.6895,Krishnarpur,,0d 17h 23m
104,NE2_KA04AB5800_JETTING,ne2_ka04ab5800_jetting,18/7/2022,14:34:39,13233,12.9979/77.5796,Hotel Magaji Orchids,,0d 00h 00m
105,S3_KA04AA9017_DESILTING,s3_ka04aa9017_desilting,19/7/2022,11:42:30,17933,12.9230/77.6146,Siddaguntepalya,,23d 00h 45m
106,NW1_KA042D3161_TANKER,nw1_ka042d3161_tanker,19/7/2022,14:34:16,20526,12.9879/77.5508,RajajiNagar,,0d 00h 03m
107,N1_KA04D5126_TANKER,n1_ka04d5126_tanker,20/7/2022,4:27:03,14712,13.0621/77.5072,Malsandra,,0d 00h 00m
108,N3_KA02AC4516_JETTING,n3_ka02ac4516_jetting,20/7/2022,10:39:53,41663,13.0621/77.5573,Dod Bammasandra,,0d 00h 00m
109,E2_KA04C5158_JETTING,e2_ka04c5158_jetting,20/7/2022,11:28:41,20799,12.9799/77.7576,Four Points By Sheraton Whitefield,,0d 18h 43m
110,SW3_KA05A8077_TANKER,sw3_ka05a8077_tanker,21/7/2022,5:55:47,24233,12.9425/77.5760,Venus Residency,,0d 00h 00m
111,S1_KA03C5043_TANKER,s1_ka03c5043_tanker,21/7/2022,9:48:04,65145,12.9154/77.5692,Yarub Nagar,,0d 00h 00m
112,NE1_KA04B7111_TANKER,ne1_ka04b7111_tanker,21/7/2022,10:52:12,12606,13.0121/77.5671,Malleshwaram,,4d 15h 35m
113,C3_KA04D4276_JETTING,c3_ka04d4276_jetting,21/7/2022,13:10:15,15742,12.9962/77.6218,Cox Town,,0d 00h 00m
114,N3_KA04D5128_TANKER,n3_ka04d5128_tanker,21/7/2022,23:36:08,27394,13.0592/77.5869,Chairman's Club & Resort,,0d 00h 00m
115,E1_KA04A3281_JETTING,e1_ka04a3281_jetting,22/7/2022,13:38:49,21990,13.0388/77.6283,HBR Layout 5th Block,,0d 00h 00m
116,WWM_VV1_KA53B3460_JETTING,wwm_vv1_ka53b3460_jetting,22/7/2022,15:33:58,277,12.9367/77.5212,Nayandanahalli,,21d 20h 15m
117,S2_KA04AA7680_DESILTING,s2_ka04aa7680_desilting,22/7/2022,16:04:40,1609344,12.8623/77.5848,Gottigere,,0d 00h 00m
118,NW1_KA04D6656_JETTING,nw1_ka04d6656_jetting,22/7/2022,19:19:24,44724,13.0071/77.5529,Subramanya Nagar,,0d 00h 00m
120,C1_KA041A7291_JETTING,c1_ka041a7291_jetting,23/7/2022,13:37:40,12341,12.9880/77.5792,Ramada Bangalore,,1d 22h 08m
121,W3_KA04C5237_TANKER,w3_ka04d5237_tanker,23/7/2022,14:47:48,12897,12.9195/77.5223,Kenchenahalli,,0d 00h 00m
122,S1_KA04D5428_TANKER,s1_ka04d5428_tanker,23/7/2022,19:59:54,38312,12.9114/77.6466,HSR Club,,0d 00h 00m
123,W3_KA04D5305_TANKER,w3_ka04d5305_tanker,24/7/2022,3:27:22,3265,12.9870/77.4787,Cachohalli,,0d 00h 00m
124,W4_KA02D3152_TANKER,w4_ka02d3152_tanker,24/7/2022,18:24:05,1609344,13.0101/77.5664,Malleshwaram,,0d 00h 00m
125,SE1_KA05D8227_TANKER,se1_ka05d8227_tanker,24/7/2022,23:15:32,47824,12.9612/77.6383,Domlur Bus Stop,,0d 00h 00m
126,SW2_KA04C5143_JETTING,sw2_ka04c5143_jetting,25/7/2022,7:04:17,38967,12.9244/77.5576,PETROL BUNK ORR,,0d 00h 00m
127,C3_KA03C5064_TANKER,c3_ka03c5064_tanker,25/7/2022,11:30:10,44273,13.0123/77.6134,Jivanhalli,,16d 08h 22m
128,NE3_KA04B7114_TANKER,ne3_ka04b7114_tanker,25/7/2022,16:32:53,45423,13.0110/77.5673,Malleshwaram,,28d 22h 49m
129,SE1_KA04D4110_JETTING,se1_ka04d4110_jetting,25/7/2022,16:56:41,17724,12.9585/77.6121,Hotel Royal Heritage,,0d 00h 09m
130,E3_KA02AF6874_TANKER,e3_ka02af6874_tanker,26/7/2022,2:11:58,18023,13.0081/77.6899,Krishnarpur,,0d 16h 28m
132,E1_KA04D5294_TANKER,e1_ka04d5294_tanker,26/7/2022,10:57:48,10473,13.0938/77.5899,Shaneeswar Mandir Allala Sandra,,0d 00h 00m
133,SW2_KA04D5285_TANKER,sw2_ka04d5285_tanker,26/7/2022,11:18:41,22275,12.9429/77.5758,Venus Residency,,44d 18h 14m
134,W1_KA04D6653_JETTING,w1_ka04d6653_jetting,26/7/2022,11:18:45,12028,12.9686/77.5483,Telecom Layout,,0d 00h 00m
135,WWM_KA53B3476_DUMPING,wwm_ka53b3476_dumping,26/7/2022,11:23:38,26084,13.0642/77.6065,Amruthahalli,,0d 00h 00m
136,SE3_KA02AC5940_JETTING,se3_ka02ac5940_jetting,26/7/2022,11:38:25,16000,12.9408/77.6231,D-Habitat Suites Rooms N Apartments,,6d 19h 33m
137,S4_KA04C4868_JETTING,s4_ka04c4868_jetting,26/7/2022,11:46:38,79557,12.8131/77.6766,Samruddhi Suites,,0d 00h 00m
139,NE3_KA04C3715_JETTING,ne3_ka04c3715_jetting,26/7/2022,13:51:12,18094,13.0342/77.6060,Kanaka Nagar,,0d 00h 00m
140,NE3_KA04AA1784_DESILTING,ne3_ka04aa1784_desilting,26/7/2022,15:32:22,15132,13.0245/77.6006,Mannarayanapallya,,1d 20h 49m
142,S2_KA04D5124_TANKER,s2_ka04d5124_tanker,26/7/2022,16:15:36,40644,12.8581/77.5747,Gottigere,,26d 17h 03m
143,E1_KA04AB6024_JETTING,e1_ka04ab6024_jetting,26/7/2022,16:22:21,16420,,,,7d 11h 46m
144,SW3_KA02AC5929_JETTING,sw3_ka02ac5929_jetting,26/7/2022,16:35:14,22302,12.9402/77.5631,Nirmala Stores,,0d 00h 13m
145,E3_KA04C5159_JETTING,e3_ka04c5159_jetting,26/7/2022,16:48:13,28958,13.0079/77.6900,Krishnarpur,,3d 15h 40m
146,NW1_KA04D4278_JETTING,nw1_ka04d4278_jetting,26/7/2022,16:50:44,17689,13.0091/77.5470,Nagapura,,0d 17h 24m
147,S4_KA04C5145_JETTING,s4_ka04c5145_jetting,26/7/2022,16:53:46,25879,12.8898/77.6139,Vijaya Bank Colony,,41d 00h 12m
148,NW3_KA04D5165_JETTING,nw3_ka04d5165_jetting,26/7/2022,17:08:18,21130,13.0328/77.5182,Choksandra,,0d 00h 24m
149,S4_KA05D8083_TANKER,s4_ka05d8083_tanker,26/7/2022,17:37:57,35061,12.8967/77.6410,Garvi Bhavi Palya Hosur Road,,0d 07h 25m
150,NW3_KA04AA7686_DESILTING,nw3_ka04aa7686_desilting,26/7/2022,17:55:20,15365,13.0359/77.5181,Chokkasandra,,1d 14h 24m
151,NE2_KA04B7110_TANKER,ne2_ka04b7110_tanker,26/7/2022,18:53:24,34670,13.0105/77.5669,Malleshwaram,,14d 18h 43m
153,WWM_KC1_KA53B3468_JETTING,wwm_kc1_ka53b3468_jetting,26/7/2022,19:17:55,1609358,13.0693/77.5938,Satya Comforts Serviced Apartments,,0d 00h 00m
154,SE3_KA04D4155_JETTING,se3_ka04d4155_jetting,26/7/2022,20:30:42,22497,12.9252/77.6401,Koramangala Teachers Colony,,0d 00h 03m
155,NE1_KA04A6216_JETTING,ne1_ka04a6216_jetting,26/7/2022,22:06:46,1608142,13.0115/77.5678,Malleshwaram,,0d 00h 00m
156,WWM_VV1_KA04AA9029_DESILTING,wwm_vv1_ka04aa9029_desilting,26/7/2022,22:40:36,9218,,,,28d 22h 20m
157,SW4_KA04D4106_JETTING,sw4_ka04d4106_jetting,26/7/2022,23:55:31,82402,12.9353/77.5888,Jayanagar Swimming Pool,,0d 00h 19m
158,N3_KA04C5142_JETTING,n3_ka04c5142_jetting,26/7/2022,23:57:43,49654,13.0594/77.5873,Chairman's Club & Resort,,0d 00h 00m
159,NE1_KA04B7112_TANKER,ne1_ka04b7112_tanker,26/7/2022,23:58:17,77504,13.0110/77.5674,Malleshwaram,,0d 01h 17m
160,E4_KA04AB6022_JETTING,e4_ka04ab6022_jetting,26/7/2022,23:58:18,21731,12.9964/77.6769,K R Puram,,0d 00h 00m
161,NE3_KA04D4115_JETTING,ne3_ka04d4115_jetting,26/7/2022,23:58:24,29495,13.0234/77.5939,Coreltree,,34d 13h 07m
162,S1_KA05B6541_JETTING,s1_ka05b6541_jetting,26/7/2022,23:58:31,172134,12.9088/77.5628,Kumaraswamy Layout,,0d 00h 00m
163,S2_KA04D5296_TANKER,s2_ka04d5296_tanker,26/7/2022,23:58:31,50309,12.8738/77.5842,Quality Inn Shravanthi,,0d 00h 00m
164,SE1_KA04D5303_TANKER,se1_ka04d5303_tanker,26/7/2022,23:58:32,28681,12.9825/77.6494,Thippasandra,,97d 22h 15m
165,E2_KA04D5163_JETTING,e2_ka04d5163_jetting,26/7/2022,23:58:32,36226,12.9764/77.7117,Radha Hometel,,0d 00h 13m
166,S3_KA04C5146_JETTING,s3_ka04c5146_jetting,26/7/2022,23:58:32,18777,12.9159/77.6072,Samrudhii Suites,,1d 18h 10m
167,E2_KA04AA9023_DESILTING,e2_ka04aa9023_desilting,26/7/2022,23:58:32,14241,12.9770/77.7114,Radha Hometel,,5d 06h 41m
168,W1_KA04C9408_JETTING,w1_ka04c9408_jetting,26/7/2022,23:58:32,1609344,12.9746/77.5482,Chord Road,,0d 00h 00m
169,S1_KA04D4270_JETTING,s1_ka04d4270_jetting,26/7/2022,23:58:32,63565,12.9090/77.5624,Kumaraswamy Layout,,0d 00h 00m
170,E4_KA02AC4534_JETTING,e4_ka02ac4534_jetting,26/7/2022,23:58:33,21332,12.9769/77.7114,Radha Hometel,,0d 00h 00m
171,NE1_KA04C5136_JETTING,ne1_ka04c5136_jetting,26/7/2022,23:58:33,79464,13.0102/77.5665,Malleshwaram,,0d 00h 02m
172,SE1_KA04AB5793_JETTING,se1_ka04ab5793_jetting,26/7/2022,23:58:33,12142,12.9581/77.6123,Hotel Royal Heritage,,0d 00h 00m
173,N2_KA04AB5791_JETTING,n2_ka04ab5791_jetting,26/7/2022,23:58:34,58584,13.1017/77.5858,Puttanahalli,,0d 00h 00m
175,N1_KA04AB6025_JETTING,n1_ka04ab6025_jetting,26/7/2022,23:58:35,1609344,13.0625/77.5048,Bagalkunti,,0d 00h 00m
176,C1_KA04C5126_JETTING,c1_ka04c5126_jetting,26/7/2022,23:58:35,19303,12.9738/77.5734,Balepette,,0d 00h 00m
177,C3_KA04C5160_JETTING,c3_ka04c5160_jetting,26/7/2022,23:58:35,9228,13.0015/77.6275,Seva Nagar,,0d 00h 00m
178,N1_KA04AA9031_DESILTING,n1_ka04aa9031_desilting,26/7/2022,23:58:36,11832,13.0103/77.5666,Malleshwaram,,0d 00h 00m
179,W3_KA04D4156_JETTING,w3_ka04d4156_jetting,26/7/2022,23:58:36,20184,12.9274/77.5153,Kenchenahalli,,0d 00h 00m
180,SW2_KA04AB5797_JETTING,sw2_ka04ab5797_jetting,26/7/2022,23:58:36,9466,12.9302/77.5474,Srinivasa Nagar,,0d 00h 00m
181,SW4_KA04AA9016_DESILTING,sw4_ka04aa9016_desilting,26/7/2022,23:58:37,2448,13.0038/77.4670,Cachohalli,,0d 00h 00m
182,S4_KA04AA7683_DESILTING,s4_ka04aa7683_desilting,26/7/2022,23:58:37,14494,12.8972/77.6202,Hongasandra,,74d 15h 10m
183,SE2_KA04AA7681_DESILTING,se2_ka04aa7681_desilting,26/7/2022,23:58:37,9083,13.0101/77.5663,Malleshwaram,,0d 00h 00m
184,SW1_KA01B9896_TANKER,sw1_ka01b9896_tanker,26/7/2022,23:58:37,22997,12.9430/77.5759,Venus Residency,,0d 00h 00m
185,SE2_KA04C2090_JETTING,se2_ka04c2090_jetting,26/7/2022,23:58:38,30448,12.9831/77.6495,Thippasandra,,0d 00h 00m
186,S1_KA05AD2936_DESILTING,s1_ka05ad2936_desilting,26/7/2022,23:58:38,1609344,12.9163/77.5728,Banashankari,,0d 00h 00m
187,S3_KA04D6654_JETTING,s3_ka04d6654_jetting,26/7/2022,23:58:38,20699,12.9158/77.6013,BTM Layout 1st Stage,,16d 09h 07m
188,SW1_KA04D4872_JETTING,sw1_ka04d4872_jetting,26/7/2022,23:58:39,20614,12.9431/77.5760,Venus Residency,,0d 00h 00m
