Sl No.,Device ID,Zone ID,Vehicle Number,Vehicle Type,IMEI,Status,October_22 Match,RA_11 Match
171,SE1_KA04A3046_JETTING,SE1,KA04A3046,JETTING,tk_868683022806701,SCRAPPED,SE1_KA04A3046_JETTING,SE1_KA04A3046_JETTING
172,SE1_KA04AA9030_DESITING,SE1,KA04AA9030,DESITING,tk_864895033188051,WORKING,SE1_KA04AA9030_DESILTING,SE1_KA04AA9030_DESILTING
173,SE1_KA04AB5793_JETTING,SE1,KA04AB5793,JETTING,tk_864895033188028,WORKING,SE1_KA04AB5793_JETTING,SE1_KA04AB5793_JETTING
174,SE1_KA04AB5794_JETTING,SE1,KA04AB5794,JETTING,tk_864895033188200,WORKING,SE1_KA04AB5794_JETTING,SE1_KA04AB5794_JETTING
175,SE1_KA04C5150_JETTING,SE1,KA04C5150,JETTING,tk_868683022800779,WORKING,SE1_KA04C5150_JETTING,SE1_KA04C5150_JETTING
177,SE1_KA04D4110_JETTING,SE1,KA04D4110,JETTING,tk_868683022810604,WORKING,SE1_KA04D4110_JETTING,SE1_KA04D4110_JETTING
178,SE1_KA04D5303_TANKER,SE1,KA04D5303,TANKER,tk_868683022831857,WORKING,SE1_KA04D5303_TANKER,SE1_KA04D5303_TANKER
170,SE1_KA049409_JETTING,SE1,KA049409,JETTING,tk_868683022807089,WORKING,SE1_KA049409_JETTING,SE2_KA049409_JETTING
176,SE1_KA04C5154_JETTING,SE1,KA04C5154,JETTING,tk_868683022810729,WORKING,SE1_KA04C5154_JETTING,SE2_KA04C5154_JETTING
179,SE1_KA04D6651_JETTING,SE1,KA04D6651,JETTING,tk_868683022806834,WORKING,SE1_KA04D6651_JETTING,SE2_KA04D6651_JETTING
181,SE1_KA05D8227_TANKER,SE1,KA05D8227,TANKER,tk_868683022791184,WORKING,SE1_KA05D8227_TANKER,SE2_KA05D8227_TANKER
183,SE2_KA04A3282_JETTING,SE2,KA04A3282,JETTING,tk_868683022809416,WORKING,SE2_KA04A3282_JETTING,SE4_KA04A3282_JETTING
188,SE3_KA04A3044_JETTING,SE3,KA04A3044,JETTING,tk_868683022806032,WORKING,SE3_KA04A3044_JETTING,SE5_KA04A3044_JETTING
189,SE3_KA04AA7687_DESILTING,SE3,KA04AA7687,DESILTING,tk_864895033187368,WORKING,SE3_KA04AA7687_DESILTING,SE5_KA04AA7687_DESILTING
191,SE3_KA04D4155_JETTING,SE3,KA04D4155,JETTING,tk_868683022796605,WORKING,SE3_KA04D4155_JETTING,SE5_KA04D4155_JETTING
192,SE3_KA04D5311_TANKER,SE3,KA04D5311,TANKER,tk_868683022798155,WORKING,SE3_KA04D5311_TANKER,SE5_KA04D5311_TANKER
193,SE3_KA05B8084_TANKER,SE3,KA05B8084,TANKER,tk_868683022811289,WORKING,SE3_KA05B8084_TANKER,SE5_KA05B8084_TANKER
153,S3_KA04A9518_JETTING,S3,KA04A9518,JETTING,tk_868683022786770,WORKING,S3_KA04A9518_JETTING,SE6_KA04A9518_JETTING
154,S3_KA04AA9017_DESILTING,S3,KA04AA9017,DESILTING,tk_868683022801686,WORKING,S3_KA04AA9017_DESILTING,SE6_KA04AA9017_DESILTING
156,S3_KA04D6654_JETTING,S3,KA04D6654,JETTING,tk_868683022798148,WORKING,S3_KA04D6654_JETTING,SE6_KA04D6654_JETTING
228,SW4_KA05D8079_TANKER,SW4,KA05D8079,TANKER,tk_868683022791200,WORKING,SW4_KA05D8079_TANKER,STP_CUBBON_PARK_KA05D8079_TANKER
1,C1_KA02AC5939_JETTING,c1,KA02AC5939,JETTING,tk_868683022806388,WORKING,C1_KA02AC5939_JETTING,SW1_KA02AC5939_JETTING
3,C1_KA04A7291_JETTING,C1,KA04A7291,JETTING,tk_868683022808483,WORKING,,SW1_KA04A7291_JETTING
5,C1_KA04C5126_JETTING,C1,KA04C5126,JETTING,tk_868683022790160,WORKING,C1_KA04C5126_JETTING,SW1_KA04C5126_JETTING
6,C1_KA04D5123_TANKER,C1,KA04D5123,TANKER,tk_868683022810091,WORKING,C1_KA04D5123_TANKER,SW1_KA04D5123_TANKER
205,SW2_CAW236_JETTING,SW2,CAW236,JETTING,tk_864180032709409,SCRAPPED,SW2_CAW236_JETTING,SW2_CAW236_JETTING
206,SW2_CAW311_TANKER,SW2,CAW311,TANKER,tk_868683022810737,SCRAPPED,SW2_CAW311_TANKER,SW2_CAW311_TANKER
199,SW1_KA04A3045_JETTING,SW1,KA04A3045,JETTING,tk_868683022789451,WORKING,SW1_KA04A3045_JETTING,SW2_KA04A3045_JETTING
200,SW1_KA04A9520_JETTING,SW1,KA04A9520,JETTING,tk_868683022796886,SCRAPPED,SW1_KA04A9520_JETTING,SW2_KA04A9520_JETTING
201,SW1_KA04A9522_JETTING,SW1,KA04A9522,JETTING,tk_868683022788487,WORKING,SW1_KA04A9522_JETTING,SW2_KA04A9522_JETTING
202,SW1_KA04AA7685_DESITING,SW1,KA04AA7685,DESITING,tk_868683022810349,WORKING,SW1_KA04AA7685_DESILTING,SW2_KA04AA7685_DESILTING
210,SW2_KA04C5161_JETTING,SW2,KA04C5161,JETTING,tk_868683022791812,WORKING,NE1_KA04C5161_JETTING,SW2_KA04C5161_JETTING
203,SW1_KA04D4607_JETTING,SW1,KA04D4607,JETTING,tk_868683022811206,WORKING,SW1_KA04D4607_JETTING,SW2_KA04D4607_JETTING
213,SW3_KA02AC5929_JETTING,SW3,KA02AC5929,JETTING,tk_868683022790350,WORKING,SW3_KA02AC5929_JETTING,SW3_KA02AC5929_JETTING
215,SW3_KA04A9513_JETTING,SW3,KA04A9513,JETTING,tk_868683022809770,WORKING,SW3_KA04A9513_JETTING,SW3_KA04A9513_JETTING
216,SW3_KA04C5147_JETTING,SW3,KA04C5147,JETTING,tk_868683022806693,WORKING,SW3_KA04C5147_JETTING,SW3_KA04C5147_JETTING
217,SW3_KA05A8077_TANKER,SW3,KA05A8077,TANKER,tk_868683022800043,WORKING,SW3_KA05A8077_TANKER,SW3_KA05A8077_TANKER
218,SW3_KA05AD2942_DESILTING,SW3,KA05AD2942,DESILTING,tk_868683022791820,WORKING,SW3_KA05AD2942_DESILTING,SW3_KA05AD2942_DESILTING
209,SW2_KA04C5143_JETTING,SW2,KA04C5143,JETTING,tk_868683022791705,WORKING,SW2_KA04C5143_JETTING,SW4_KA04C5143_JETTING
211,SW2_KA04D4605_JETTING,SW2,KA04D4605,JETTING,tk_868683022786416,WORKING,SW2_KA04D4605_JETTING,SW4_KA04D4605_JETTING
212,SW2_KA04D5285_TANKER,SW2,KA04D5285,TANKER,tk_868683022798700,WORKING,SW2_KA04D5285_TANKER,SW4_KA04D5285_TANKER
132,S1_KA03C5043_TANKER,S1,KA03C5043,TANKER,tk_868683022789287,WORKING,S1_KA03C5043_TANKER,SW5_KA03C5043_TANKER
133,S1_KA04C5144_JETTING,S1,KA04C5144,JETTING,tk_868683022789683,WORKING,S1_KA04C5144_JETTING,SW5_KA04C5144_JETTING
134,S1_KA04D4270_JETTING,S1,KA04D4270,JETTING,tk_868683022789865,WORKING,S1_KA04D4270_JETTING,SW5_KA04D4270_JETTING
138,S1_KA05B6541_JETTING,S1,KA05B6541,JETTING,tk_868683022788222,WORKING,S1_KA05B6541_JETTING,SW5_KA05B6541_JETTING
245,W4_KA04C5129_JETTING,W4,KA04C5129,JETTING,tk_868683022790178,WORKING,W4_KA04C5129_JETTING,SW6_KA04C5129_JETTING
135,S1_KA04D5233_TANKER,S1,KA04D5233,TANKER,tk_868683022791093,WORKING,S1_KA04D5233_TANKER,SW6_KA04D5233_TANKER
238,W3_KA04A9521_JETTING,W3,KA04A9521,JETTING,tk_868683022997898,WORKING,W3_KA04A9521_JETTING,W21_KA04A9521_JETTING
240,W3_KA04D4156_JETTING,W3,KA04D4156,JETTING,tk_868683022810166,WORKING,W3_KA04D4156_JETTING,W21_KA04D4156_JETTING
241,W3_KA04D5156_JETTING,W3,KA04D5156,JETTING,tk_864180032617719,WORKING,W3_KA04D5156_JETTING,W21_KA04D5156_JETTING
242,W3_KA04D5305_TANKER,W3,KA04D5305,TANKER,tk_868683022796183,WORKING,W3_KA04D5305_TANKER,W21_KA04D5305_TANKER
237,W22_KA01A5947_JETTING,W22,KA01A5947,JETTING,tk_864180032708898,SCRAPPED,W2_KA01A5947_JETTING,W22_KA01A5947_JETTING
235,W2_KA04C5134_JETTING,W2,KA04C5134,JETTING,tk_868683022800837,WORKING,W2_KA04C5134_JETTING,W22_KA04C5134_JETTING
236,W2_KA04D4864_JETTING,W2,KA04D4864,JETTING,tk_868683022797256,WORKING,W2_KA04D4864_JETTING,W22_KA04D4864_JETTING
249,WWM_KA53B3474_DUMPING,WWM,KA53B3474,DUMPING,tk_868683022787893,WORKING,WWM_KA53B3474_DUMPING,WWM_KA53B3474_DUMPING
250,WWM_KA53B3475_DUMPING,WWM,KA53B3475,DUMPING,tk_868683022786689,WORKING,WWM_KA53B3475_DUMPING,WWM_KA53B3475_DUMPING
251,WWM_KA53B3476_DUMPING,WWM,KA53B3476,DUMPING,tk_868683022809861,WORKING,WWM_KA53B3476_DUMPING,WWM_KA53B3476_DUMPING
252,WWM_KA53B3477_DUMPING,WWM,KA53B3477,DUMPING,tk_868683022790533,WORKING,WWM_KA53B3477_DUMPING,WWM_KA53B3477_DUMPING
253,WWM_KC1_KA04AA5948_DESILTING,WWM_KC1,KA04AA5948,DESILTING,tk_868683022788990,WORKING,WWM_KC1_KA04AA5948_DESILTING,WWM_KC1_KA04AA5948_DESILTING
259,WWM_KC2_KA53B3472_JETTING,WWM_KC2,KA53B3472,JETTING,tk_868683022871598,WORKING,WWM_KC2_KA53B3472_JETTING,WWM_KC2_KA53B3472_JETTING
260,WWM_KC2_KA53B3473_DUMPTANKER,WWM_KC2,KA53B3473,DUMPTANKER,tk_868683022488088,WORKING,WWM_KC2_KA53B3473_DUMPTANKER,WWM_KC2_KA53B3473_DUMPTANKER
261,WWM_VV1_KA04AA9029_DESILTING,WWM_VV1,KA04AA9029,DESILTING,tk_864895033187483,WORKING,WWM_VV1_KA04AA9029_DESILTING,WWM_VV1_KA04AA9029_DESILTING
262,WWM_VV1_KA53B3459_DUMPING,WWM_VV1,KA53B3459,DUMPING,tk_868683022997278,WORKING,WWM_VV1_KA53B3459_DUMPING,WWM_VV1_KA53B3459_DUMPING
263,WWM_VV1_KA53B3460_JETTING,WWM_VV1,KA53B3460,JETTING,tk_868683022800720,WORKING,WWM_VV1_KA53B3460_JETTING,WWM_VV1_KA53B3460_JETTING
266,WWM_VV2_KA53B3461_DUMPTANKER,WWM_VV2,KA53B3461,DUMPTANKER,tk_864895033188325,WORKING,WWM_VV2_KA53B3461_DUMPTANKER,WWM_VV1_KA53B3461_DUMPTANKER
265,WWM_VV2_KA41AB5933_RECYCLER,WWM_VV2,KA41AB5933,RECYCLER,tk_864180032610003,WORKING,WWM_VV-2_KA41AB5933_RECYCLER,WWM_VV2_KA41AB5933_RECYCLER
254,WWM_KC1_KA04AA9020_DESITING,WWM_KC1,KA04AA9020,DESITING,tk_868683022786671,WORKING,WWM_KC1_KA04AA9020_DESILTING,WWMN_CV1_KA04AA9020_DESILTING
255,WWM_KC1_KA53B3463_DUMPTANKER,WWM_KC1,KA53B3463,DUMPTANKER,tk_868683022824142,WORKING,WWM_KC1_KA53B3463_DUMPTANKER,WWMN_CV1_KA53B3463_DUMPTANKER
256,WWM_KC1_KA53B3464_JETTING,WWM_KC1,KA53B3464,JETTING,tk_868683022491421,WORKING,WWM_KC1_KA53B3464_JETTING,WWMN_CV1_KA53B3464_JETTING
257,WWM_KC1_KA53B3468_JETTING,WWM_KC1,KA53B3468,JETTING,tk_864180032711736,WORKING,WWM_KC1_KA53B3468_JETTING,WWMN_CV1_KA53B3468_JETTING
267,WWM_VV2_KA53B3462_JETTING,WWM_VV2,KA53B3462,JETTING,tk_868683022800753,WORKING,WWM_VV2_KA53B3462_JETTING,WWW_V_VV1_KA53B3462_JETTING
264,WWM_VV1_KA53B3465_JETTING,WWM_VV1,KA53B3465,JETTING,tk_868683022871838,WORKING,WWM_VV-1_KA53B3465_JETTING,WWW_V_VV1_KA53B3465_JETTING
268,WWM_VV2_KA53B3467_JETTING,WWM_VV2,KA53B3467,JETTING,tk_868683022802296,WORKING,WWM_VV-2_KA53B3467_JETTING,WWW_V_VV1_KA53B3467_JETTING
